,LEFTCLOSE,LEFT,CENTER,RIGHT,RIGHTCLOSE
dlc,0.454019419112791,0.473787008023382,0.072193572863827,0,0
manual_coding,0.454794520547945,0.435616438356164,0.10958904109589,0,0
