scorer,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000
bodyparts,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
11,688.2950258255005,-0.9376125335693359,4.814972385247529e-07,684.6300523281097,1.0906474590301514,2.6980258098774357e-06,0.5225832462310791,4.300421476364136,2.6725882662503864e-07
12,688.0367789268494,-0.7829747200012207,5.450082198876771e-07,684.7807072401047,1.073469877243042,3.5134132758685155e-06,0.5649664402008057,4.357623755931854,2.7725690188162844e-07
13,688.0737991333008,-0.8972887992858887,6.175110343065171e-07,684.6477183103561,1.1490111351013184,3.4895347198471427e-06,0.5786077976226807,4.308730065822601,2.595421051410085e-07
14,687.9604091644287,-0.8133029937744141,6.179015485940909e-07,684.7036611437798,0.9908998012542725,3.480547775325249e-06,0.5975420475006104,4.287555694580078,2.6097620775544783e-07
15,687.6562979221344,-0.9755706787109375,8.337808594660601e-07,684.3800037801266,1.1790590286254883,3.377921530045569e-06,0.508875846862793,4.272947400808334,2.8604134172383056e-07
16,687.5444436073303,-0.9385256767272949,8.415375987169682e-07,684.5231380462646,0.9475469589233398,3.7005206650064792e-06,0.622692346572876,4.250266879796982,2.636280100887234e-07
17,687.634083032608,-1.0838117599487305,6.613575465053145e-07,684.9837629795074,0.8138320446014404,3.378936298759072e-06,0.6771330833435059,4.322247475385666,2.689199334326986e-07
18,687.9221494197845,-1.1758828163146973,5.219589525040647e-07,684.8205806016922,0.9261319637298584,3.0255889669206226e-06,0.6147985458374023,4.359037488698959,2.727832963955734e-07
19,687.9929678440094,-1.097071647644043,6.89852981849981e-07,684.7378079295158,0.9768223762512207,3.3195599371538265e-06,0.6161963939666748,4.370049059391022,2.690119913495437e-07
20,688.0044922828674,-1.311941146850586,4.4603476112570206e-07,684.7239242196083,0.6391394138336182,2.007649982260773e-06,0.6349453926086426,4.301032453775406,2.678298471892049e-07
21,688.0682973861694,-1.268826961517334,3.922385474197654e-07,684.7929781675339,0.7060630321502686,1.9285246253275545e-06,0.6000986099243164,4.252739071846008,2.5491974042779475e-07
22,687.7726747989655,-1.1768712997436523,4.6201571990422963e-07,684.9917605519295,0.7513103485107422,2.5840824946499197e-06,0.6756510734558105,4.315110206604004,2.915323022989469e-07
23,687.9025094509125,-0.8805828094482422,4.982254040442058e-07,684.7934395074844,0.8621768951416016,2.7225728445046116e-06,0.5240399837493896,4.377538114786148,2.855028355952527e-07
24,687.8804347515106,-1.11629056930542,5.268308882477868e-07,684.8642682433128,1.025956630706787,2.702669007703662e-06,0.56856369972229,4.257261008024216,2.507242982119351e-07
25,687.8114228248596,-0.8192567825317383,1.1649899533949792e-06,684.9551994204521,1.0384981632232666,4.9723844313120935e-06,0.5668559074401855,4.294859975576401,2.5951709403670975e-07
26,688.297646522522,-0.7467470169067383,8.029387572605629e-07,684.9648100733757,1.072533369064331,3.7611762309097685e-06,0.5768704414367676,4.253682255744934,2.672091454769543e-07
27,688.1914668083191,-0.7057356834411621,7.417039000756631e-07,684.8936704397202,0.9206447601318359,3.376582071723533e-06,0.4667952060699463,4.319612413644791,2.702485915051511e-07
28,688.5719885826111,-0.8113536834716797,7.828926982256235e-07,684.8592984676361,1.1493725776672363,4.3540553633647505e-06,0.5915007591247559,4.3239865899086,2.42883828605045e-07
29,688.4768390655518,-0.749699592590332,6.621672241635679e-07,684.5346357226372,1.5238184928894043,3.5997406939713983e-06,0.5818662643432617,4.3467728197574615,2.597770958345791e-07
30,688.8101997375488,-1.1670928001403809,4.817852641281206e-07,684.6338348388672,1.0965981483459473,2.5337585611850955e-06,0.6375632286071777,4.500162839889526,3.459308572928421e-07
31,687.7188572883606,-1.431480884552002,6.609912475141755e-07,684.8347592353821,1.353464126586914,3.2422451567981625e-06,0.7189292907714844,4.442242741584778,3.72565125417168e-07
32,687.9977388381958,-1.4085841178894043,7.271160029631574e-07,684.6367259025574,0.9912865161895752,2.9608363547595218e-06,0.6953535079956055,4.476896703243256,3.419515053337818e-07
33,687.7420599460602,-1.0632038116455078,7.932997618809168e-07,684.6357498168945,1.0165152549743652,2.787118091873708e-06,0.6050803661346436,4.393436759710312,3.041124898572889e-07
34,687.7940404415131,-1.0419368743896484,7.397456442959083e-07,684.5629639625549,0.988886833190918,2.952532213384984e-06,0.6346416473388672,4.431496739387512,2.980492865845008e-07
35,687.8966417312622,-1.0226378440856934,6.139829906715022e-07,684.5142609477043,1.1828112602233887,2.3810409857105697e-06,0.667769193649292,4.467536836862564,3.077054770983523e-07
36,687.8537030220032,-1.1433534622192383,8.060092113737483e-07,684.9672393202782,1.0517117977142334,3.394238774490077e-06,0.5129406452178955,4.446577966213226,2.78756459692886e-07
37,687.77903175354,-1.1916656494140625,8.638313602205017e-07,684.7896243333817,1.0574796199798584,3.133863856419339e-06,0.604048490524292,4.386158287525177,2.8358971349007334e-07
38,687.6148836612701,-0.8872809410095215,7.642343007319141e-07,684.7348479032516,1.0823733806610107,2.5829046990111237e-06,656.5752453804016,3.289528727531433,2.6258996399519674e-07
39,687.7583277225494,-0.8283267021179199,1.4498625660053222e-06,684.7501092553139,0.9701211452484131,4.223707037454005e-06,683.3748323321342,2.582377076148987,3.832711286122503e-07
40,687.8511176109314,-0.5919575691223145,8.368877502107352e-07,684.8573851585388,1.0033683776855469,3.228213017791859e-06,656.3735680580139,3.3512282371520996,4.0020330516199465e-07
41,687.5748023986816,-0.6771078109741211,1.333330601482885e-06,684.7473952174187,1.1577072143554688,3.897665919794235e-06,656.6786098480225,3.4738354682922363,4.2349060436208674e-07
42,687.8191032409668,-0.8791851997375488,1.1060850511057652e-06,684.9796630144119,0.961754322052002,3.899413513863692e-06,683.6920489966869,2.741543769836426,2.6716404022408824e-07
43,687.9732565879822,-0.7961664199829102,9.421277695764729e-07,684.7574369907379,0.9412655830383301,3.3109854484791867e-06,683.3478032946587,2.7330482006073,2.9280258218022936e-07
44,688.0258431434631,-0.7705059051513672,1.2077779274477507e-06,684.9187949895859,1.0225582122802734,4.244170668243896e-06,683.4906004667282,2.7902963161468506,3.6556889426719863e-07
45,687.933046579361,-0.8643336296081543,1.3845470903106616e-06,684.739239692688,1.0929458141326904,4.199836439511273e-06,656.4669303894043,3.153795838356018,3.611758643273788e-07
46,687.973443031311,-0.9086833000183105,7.211081083369208e-07,685.2597416639328,0.7586750984191895,2.8920364911755314e-06,656.8436841964722,2.890420079231262,2.7348818321115687e-07
47,687.6231501102448,-0.9106955528259277,1.7202982007802348e-06,684.9936906695366,0.6260895729064941,5.449372565635713e-06,683.4776393175125,2.72070050239563,4.287735748675914e-07
48,687.3954236507416,-0.8809733390808105,1.901454083963472e-06,684.8734762072563,0.7954349517822266,5.263365437713219e-06,683.448680460453,2.524111270904541,4.2802187749657605e-07
49,687.4751467704773,-0.80450439453125,9.140442216448719e-07,684.7073040604591,1.0004959106445312,3.5396831208345247e-06,656.5770812034607,2.9287338256835938,2.6684548970479227e-07
50,687.6435742378235,-0.8219847679138184,8.197402507903462e-07,684.4145676493645,1.1077229976654053,3.3420878935430665e-06,0.6492693424224854,4.445497691631317,2.6419027676638507e-07
51,687.7384808063507,-0.7547116279602051,9.399228133588622e-07,684.372306227684,1.470442295074463,3.2035097774496535e-06,0.6628243923187256,4.4546403884887695,2.719425253872032e-07
52,687.5813679695129,-0.9164524078369141,7.755951401122729e-07,684.4438862502575,1.1716666221618652,3.227372872061096e-06,656.6946682929993,3.17759245634079,2.926509807821276e-07
53,687.8264267444611,-0.6808352470397949,9.999109806813067e-07,684.3748117387295,1.276789665222168,4.014528258267092e-06,656.7821111679077,3.198963224887848,3.152549368223845e-07
54,687.8849482536316,-0.948371410369873,7.505498729187821e-07,684.598875939846,1.209930658340454,2.9757575248368084e-06,656.3970069885254,2.9844021797180176,3.4476266819183365e-07
55,687.8734018802643,-0.7299551963806152,1.1392766054996173e-06,684.7578563690186,1.0168912410736084,4.2763404053403065e-06,683.4962353110313,2.4524725675582886,3.082341208937578e-07
56,687.9699890613556,-1.0770606994628906,5.338076221050869e-07,684.3473521173,1.0426342487335205,2.0366558146633906e-06,0.6934444904327393,4.324478387832642,2.7258226964477217e-07
57,687.7272980213165,-1.116774082183838,6.295300067904464e-07,684.5507765412331,0.7024366855621338,2.3221896299219225e-06,0.8099689483642578,4.3906212747097015,2.3139760685353394e-07
58,687.8450815677643,-0.8967089653015137,6.876873044348031e-07,684.1780221015215,0.7147922515869141,2.310334139110637e-06,0.7342426776885986,4.497220307588577,3.02259621776102e-07
59,687.745668888092,-0.7653017044067383,6.371688527906372e-07,684.5338023900986,1.0218443870544434,3.1532936191069894e-06,0.7387089729309082,4.3963733315467834,2.6806446840055287e-07
60,653.4866169691086,-1.3647661209106445,3.8982764749562193e-07,684.0013747916091,1.377610683441162,1.5337759577960242e-06,0.6176843643188477,4.465891420841217,3.490752078505466e-07
61,687.5675587654114,-0.9577193260192871,9.541773806631682e-07,684.1967664361,1.2921981811523438,3.4577165024529677e-06,656.8839797973633,3.072804629802704,3.679704434489395e-07
62,687.6213903427124,-0.9910612106323242,7.728211244284466e-07,684.1998004317284,1.0956165790557861,3.064539896513452e-06,656.9427771568298,2.993133544921875,3.8086159293015953e-07
63,687.5914030075073,-0.9681253433227539,9.020299671647081e-07,684.3451341092587,1.2766811847686768,3.297957618997316e-06,0.6630990505218506,4.352327942848206,3.6508563994175347e-07
64,687.7048456668854,-1.175588607788086,7.365392207248078e-07,684.4446086287498,1.371854305267334,2.8313647817412857e-06,0.7071812152862549,4.3577878177165985,3.3600537108213757e-07
65,687.9565572738647,-1.325915813446045,4.951568826072617e-07,684.478722512722,1.278958797454834,2.243808012281079e-06,0.64620041847229,4.38873091340065,3.4263638326592627e-07
66,687.7371685504913,-0.9071526527404785,5.101105102767178e-07,684.6225251555443,1.060622215270996,2.391673433521646e-06,0.6116812229156494,4.38929882645607,3.1511095244241005e-07
67,687.661544084549,-1.1829471588134766,6.031304451425967e-07,684.56214427948,1.1324360370635986,2.5230744995496934e-06,0.6090271472930908,4.353164881467819,3.1069606620803825e-07
68,687.6181116104126,-1.1158485412597656,5.517124463949585e-07,684.5743129849434,1.0869243144989014,2.2440351585828466e-06,0.4963967800140381,4.369373947381973,2.989317522406054e-07
69,687.8445730209351,-1.2306952476501465,5.21280469456542e-07,684.7582246661186,1.078542709350586,2.175086819988792e-06,0.5897250175476074,4.392568677663803,2.8052994593963376e-07
70,687.7874648571014,-1.290449619293213,5.104229217067768e-07,684.6530074477196,1.1636664867401123,1.8118887510354398e-06,0.6701958179473877,4.336625337600708,3.054745718600316e-07
71,687.946277141571,-1.2589025497436523,4.968266580362979e-07,684.8245344758034,0.8739187717437744,2.3624779714737087e-06,0.5332784652709961,4.373388439416885,2.805545591400005e-07
72,687.9368226528168,-1.2216906547546387,7.847607434996462e-07,684.6147438287735,1.0209600925445557,2.8209478841745295e-06,0.5982515811920166,4.453779816627502,2.878136911022011e-07
73,687.955971956253,-1.5307002067565918,4.4492972506304795e-07,684.7504358887672,1.0683088302612305,1.7476870652899379e-06,0.6347510814666748,4.384604334831238,3.1389532750836224e-07
74,687.9120001792908,-1.2336697578430176,5.389140937950287e-07,684.7006618380547,1.0172886848449707,2.4458233838231536e-06,0.5599324703216553,4.3569410145282745,3.139417401598621e-07
75,687.8865780830383,-1.159440517425537,8.539425948583812e-07,684.580967605114,1.1664166450500488,3.1028494049678557e-06,0.5716121196746826,4.347620487213135,2.9082696073601255e-07
76,687.8942387104034,-0.9479718208312988,1.3835821164320805e-06,684.2707399427891,1.1738252639770508,4.36235541201313e-06,0.5869197845458984,4.3006448447704315,3.290724350790697e-07
77,688.2681970596313,-0.907379150390625,1.1370287893441855e-06,684.5496561527252,0.9112691879272461,3.5612076771940337e-06,0.6549041271209717,4.330207943916321,3.3191093962159357e-07
78,688.4785723686218,-0.9849185943603516,6.667531806670013e-07,684.4686358571053,1.0688278675079346,2.4258040411950788e-06,0.5187959671020508,4.369856387376785,3.427755927987164e-07
79,688.3606429100037,-0.9721417427062988,7.030030815258215e-07,684.4043873250484,1.1351401805877686,2.52162863034755e-06,0.5201692581176758,4.300251543521881,3.2375936598327826e-07
80,688.5437307357788,-0.8746109008789062,5.656325470226875e-07,684.2656372487545,0.9676759243011475,2.168337005059584e-06,0.4836611747741699,4.348426073789597,3.216804032035725e-07
81,653.6009331941605,-1.1263666152954102,5.009936216993083e-07,684.407857388258,0.9194521903991699,1.9015304815184209e-06,656.3343148231506,3.1538471579551697,3.085623632159695e-07
82,653.6422760486603,-1.126234531402588,5.712585107175983e-07,684.6461781859398,1.0187735557556152,2.2280034954746952e-06,656.3571710586548,3.407509744167328,3.240923831526743e-07
83,653.4292422533035,-1.3139104843139648,5.190986485104077e-07,684.69566655159,1.2442405223846436,1.9419992440816713e-06,0.5214259624481201,4.314406871795654,2.859150924905407e-07
84,653.4879645109177,-1.286196231842041,6.102958991505147e-07,684.418812930584,1.1704931259155273,2.155403990400373e-06,0.5149681568145752,4.278173476457596,3.4508798307797406e-07
