scorer,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000
bodyparts,stimulusLeft,stimulusLeft,stimulusLeft,stimulusRight,stimulusRight,stimulusRight,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,173.9290943145752,365.76424956321716,0.9999992847442627,1648.4244329929352,684.2258155792952,0.9999995231628418,820.3669602870941,692.4721338152885,1.0,806.0992894172668,700.2676297724247,1.0,793.1955962181091,689.2995958328247,0.9999998807907104
11,175.18731832504272,363.94025902822614,0.9999997615814209,1650.4401732683182,688.8958134651184,0.9999997615814209,821.2781559228897,692.2103046923876,1.0,808.1586050987244,700.0748744159937,0.9999998807907104,795.4950789809227,690.6178377866745,1.0
12,176.45104694366455,362.47016751766205,0.9999998807907104,1651.3562479019165,691.7701760679483,0.9999996423721313,822.2984504699707,692.1829684376717,1.0,808.9302308559418,699.7993733882904,0.9999997615814209,795.9758779425174,690.5675512552261,1.0
13,175.8869071006775,359.9912259578705,1.0,1651.845024600625,693.2878248691559,0.9999995231628418,822.0998911857605,692.3941684663296,1.0,807.4031264781952,700.330765247345,1.0,794.5063490867615,689.3240830898285,1.0
14,176.21907591819763,359.3848559856415,1.0,1651.5874907374382,697.9856476783752,0.9999978542327881,822.6315534114838,691.7816562056541,1.0,809.7453825473785,698.7831834554672,0.9999997615814209,796.8100999593735,690.9422796964645,1.0
15,178.17005610466003,355.144474029541,1.0,1651.130934715271,698.4867843389511,0.999998927116394,821.0560842752457,693.5893304347992,1.0,807.4412262439728,700.7273044586182,0.9999998807907104,795.2624416947365,689.8749208450317,1.0
16,178.46413433551788,353.84100675582886,1.0,1651.6396394371986,703.8269929885864,0.9999988079071045,821.4470522403717,694.3934185504913,1.0,806.5292785167694,701.3441159725189,1.0,794.5414601564407,690.1377980709076,0.9999998807907104
17,178.75474107265472,354.3422198295593,1.0,1651.2996289730072,705.844001531601,0.9999997615814209,821.375307559967,694.0217988491058,1.0,807.1776258945465,701.2720675468445,1.0,794.7528237104416,690.6692728996277,0.9999998807907104
18,176.3300745487213,350.27622270584106,0.9999998807907104,1649.6772181987762,706.8218655586243,0.9999997615814209,822.1382479667664,693.6752667427063,1.0,807.6111259460449,701.2285891771317,0.9999998807907104,794.9784585237503,690.7786461114883,0.9999998807907104
19,176.34290838241577,348.25864109396935,0.9999998807907104,1650.6754806041718,708.2618994414806,0.9999997615814209,820.0274317804724,693.675333738327,1.0,806.995926618576,700.9605978131294,1.0,794.6930725574493,690.8369010686874,0.9999998807907104
