id,sex,condition,trial,object,position_object,startingframe,endingframe,distanceMoved,TOPCLOSE,TOP,CENTER,BOTTOM,BOTTOMCLOSE,frontalbottom,blindbottom,lateralLeftbottom,lateralRightbottom,LeftALLbottom,RightALLbottom,frontaltop,blindtop,lateralLefttop,lateralRighttop,LeftALLtop,RightALLtop,index_nan_no_stim,frames
1.0,female,example,1.0,red,top,179.0,1078.0,1.669,0.0,0.0,0.0,0.0,1.0,0.0,0.465,0.535,0.0,0.535,0.0,1.0,0.0,0.0,0.0,0.44,0.56,182.0,2.0
1.0,female,example,1.0,red,top,179.0,1078.0,2.846,0.0,0.0,0.0,0.0,1.0,0.0,0.509,0.491,0.0,0.491,0.0,1.0,0.0,0.0,0.0,0.575,0.425,183.0,3.0
1.0,female,example,1.0,red,top,179.0,1078.0,3.224,0.0,0.0,0.0,0.0,1.0,0.0,0.561,0.439,0.0,0.439,0.0,1.0,0.0,0.0,0.0,0.631,0.369,184.0,4.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.318,0.0,0.0,0.0,0.0,1.0,0.0,0.643,0.357,0.0,0.357,0.0,1.0,0.0,0.0,0.0,0.795,0.205,185.0,5.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.674,0.0,0.0,0.0,0.0,1.0,0.0,0.699,0.301,0.0,0.301,0.0,1.0,0.0,0.0,0.0,1.0,0.0,186.0,6.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.146,0.0,0.0,0.0,0.0,1.0,0.0,0.705,0.295,0.0,0.295,0.0,1.0,0.0,0.0,0.0,1.0,0.0,187.0,7.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.316,0.0,0.0,0.0,0.0,1.0,0.0,0.708,0.292,0.0,0.292,0.0,1.0,0.0,0.0,0.0,0.973,0.027,188.0,8.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.835,0.0,0.0,0.0,0.0,1.0,0.0,0.746,0.254,0.0,0.254,0.0,1.0,0.0,0.0,0.0,1.0,0.0,189.0,9.0
1.0,female,example,1.0,red,top,179.0,1078.0,3.264,0.0,0.0,0.0,0.0,1.0,0.0,0.759,0.241,0.0,0.241,0.0,1.0,0.0,0.0,0.0,1.0,0.0,190.0,10.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.747,0.0,0.0,0.0,0.0,1.0,0.0,0.764,0.236,0.0,0.236,0.0,1.0,0.0,0.0,0.0,0.939,0.061,191.0,11.0
